Пол,Возраст,Путешествует с детьми,Расстояние,Включён завтрак,Наличие wifi,Оценка удобства добирания до места,Оценка интерсности досуга,Оценка качества питания,Оценка качества wifi,Оценка комфортности палатки,Общая оценка качества предоставленной услуги
муж,"27,9",да,3621,1,1,5,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,"75,76",нет,4818,0,0,2,хорошо,отсутствует,хорошо,плохо,хорошо
муж,"61,29",да,673,0,1,2,плохо,плохо,отсутствует,хорошо,плохо
муж,"24,5",да,495,0,1,5,отсутствует,отсутствует,отсутствует,отсутствует,отсутствует
жен,"30,9",да,4492,1,0,5,плохо,хорошо,отсутствует,хорошо,хорошо
жен,"77,15",да,1260,1,1,3,хорошо,отсутствует,отсутствует,плохо,хорошо
муж,"77,95",да,2557,0,0,5,отсутствует,отсутствует,отсутствует,плохо,плохо
жен,"55,3",да,1191,1,0,5,отсутствует,хорошо,плохо,отсутствует,отсутствует
муж,"56,31",нет,2508,1,1,2,отсутствует,хорошо,плохо,отсутствует,хорошо
жен,"50,61",нет,1963,0,1,5,плохо,плохо,отсутствует,плохо,плохо
жен,"29,95",да,4426,0,1,5,плохо,хорошо,хорошо,хорошо,хорошо
муж,"41,73",нет,300,1,0,2,хорошо,отсутствует,отсутствует,плохо,хорошо
муж,"36,78",да,1917,1,0,5,хорошо,плохо,плохо,хорошо,отсутствует
муж,"66,11",да,1554,1,0,3,отсутствует,хорошо,хорошо,плохо,хорошо
жен,"51,57",да,1157,1,1,2,отсутствует,отсутствует,хорошо,хорошо,хорошо
муж,"67,29",нет,1607,0,0,3,отсутствует,отсутствует,плохо,плохо,хорошо
муж,"35,27",да,1125,1,0,2,плохо,плохо,отсутствует,хорошо,отсутствует
жен,"49,0",да,369,0,0,5,плохо,отсутствует,плохо,отсутствует,хорошо
муж,"52,82",да,3805,1,1,2,плохо,отсутствует,хорошо,отсутствует,отсутствует
жен,"63,9",нет,4443,1,0,5,отсутствует,хорошо,плохо,плохо,хорошо
муж,"69,29",нет,4246,0,1,5,отсутствует,отсутствует,плохо,плохо,плохо
муж,"34,5",нет,1902,1,1,4,плохо,плохо,хорошо,плохо,хорошо
жен,"56,95",нет,1842,1,0,5,хорошо,плохо,хорошо,хорошо,хорошо
муж,"78,38",да,4064,0,1,3,хорошо,хорошо,плохо,плохо,хорошо
муж,"79,18",да,696,1,0,1,хорошо,отсутствует,отсутствует,отсутствует,плохо
жен,"32,33",нет,1596,1,1,5,хорошо,плохо,отсутствует,отсутствует,плохо
муж,"78,12",да,3285,1,0,3,отсутствует,хорошо,плохо,плохо,хорошо
муж,"84,09",нет,4376,0,0,1,плохо,плохо,плохо,плохо,плохо
муж,"23,8",нет,3565,0,1,5,отсутствует,отсутствует,хорошо,хорошо,плохо
муж,"49,01",да,4553,1,1,4,хорошо,хорошо,плохо,плохо,хорошо
жен,"25,64",нет,3934,0,1,5,отсутствует,плохо,хорошо,отсутствует,хорошо
жен,"51,32",да,1619,1,0,4,отсутствует,отсутствует,хорошо,отсутствует,плохо
жен,"77,54",да,2396,0,0,1,отсутствует,отсутствует,отсутствует,плохо,плохо
муж,"68,08",да,3169,1,1,3,отсутствует,хорошо,плохо,плохо,отсутствует
жен,"44,29",нет,3337,1,0,2,плохо,отсутствует,отсутствует,плохо,отсутствует
жен,"75,83",да,962,1,1,3,плохо,плохо,хорошо,хорошо,плохо
жен,"89,29",нет,2107,1,0,1,отсутствует,плохо,плохо,хорошо,плохо
жен,"84,04",да,1562,0,1,1,плохо,отсутствует,хорошо,отсутствует,отсутствует
жен,"39,14",да,3079,0,0,2,хорошо,плохо,отсутствует,хорошо,отсутствует
жен,"40,72",да,4526,1,1,2,отсутствует,отсутствует,отсутствует,хорошо,отсутствует
муж,"35,88",нет,2429,1,1,4,плохо,плохо,хорошо,плохо,отсутствует
жен,"59,47",нет,4432,0,1,3,хорошо,плохо,плохо,плохо,отсутствует
муж,"63,87",нет,1083,1,1,4,хорошо,отсутствует,отсутствует,хорошо,хорошо
муж,"41,4",да,571,1,0,4,отсутствует,хорошо,хорошо,хорошо,плохо
муж,"72,49",нет,2724,0,1,4,хорошо,отсутствует,плохо,отсутствует,отсутствует
муж,"46,51",да,1167,0,1,3,отсутствует,плохо,плохо,плохо,хорошо
жен,"71,35",нет,1492,1,0,4,плохо,плохо,хорошо,отсутствует,отсутствует
муж,"31,88",нет,1695,1,0,2,хорошо,отсутствует,отсутствует,хорошо,плохо
жен,"87,74",нет,3219,0,1,3,плохо,плохо,хорошо,плохо,плохо
муж,"60,84",нет,4152,0,1,1,хорошо,отсутствует,хорошо,плохо,отсутствует
жен,"57,79",нет,3524,1,1,5,хорошо,плохо,отсутствует,плохо,отсутствует
жен,"54,53",да,4641,0,0,2,плохо,хорошо,отсутствует,хорошо,плохо
жен,"46,53",нет,814,1,0,1,плохо,плохо,плохо,хорошо,отсутствует
жен,"40,39",да,3221,0,0,2,хорошо,плохо,отсутствует,хорошо,плохо
жен,"19,31",нет,4818,0,0,4,плохо,хорошо,плохо,хорошо,плохо
жен,"41,55",нет,3495,0,0,4,отсутствует,отсутствует,отсутствует,отсутствует,хорошо
жен,"45,24",да,307,0,1,3,плохо,хорошо,хорошо,плохо,хорошо
муж,"72,96",да,820,0,1,5,отсутствует,хорошо,плохо,плохо,хорошо
муж,"28,14",да,4459,1,0,1,отсутствует,хорошо,плохо,хорошо,плохо
муж,"35,23",да,635,0,1,3,хорошо,плохо,отсутствует,хорошо,отсутствует
муж,"32,43",да,2288,1,0,1,хорошо,хорошо,плохо,хорошо,плохо
муж,"79,43",нет,2275,1,1,3,хорошо,хорошо,отсутствует,отсутствует,отсутствует
жен,"83,87",да,730,0,0,5,плохо,хорошо,хорошо,отсутствует,отсутствует
муж,"26,18",нет,1214,1,1,2,плохо,хорошо,плохо,плохо,плохо
муж,"54,2",нет,4340,0,1,2,плохо,хорошо,плохо,отсутствует,хорошо
муж,"33,76",да,3346,1,1,1,хорошо,плохо,хорошо,отсутствует,плохо
муж,"85,82",да,423,1,0,5,отсутствует,отсутствует,отсутствует,хорошо,отсутствует
жен,"74,51",нет,3179,1,1,3,отсутствует,плохо,отсутствует,отсутствует,плохо
муж,"85,18",да,1454,1,0,1,отсутствует,отсутствует,плохо,отсутствует,хорошо
жен,"78,74",да,4715,1,1,1,плохо,плохо,хорошо,отсутствует,отсутствует
жен,"78,68",да,1166,1,0,1,отсутствует,отсутствует,хорошо,хорошо,плохо
муж,"73,65",нет,1599,0,1,1,хорошо,отсутствует,плохо,отсутствует,плохо
жен,"74,57",нет,2774,1,1,2,плохо,хорошо,отсутствует,плохо,плохо
жен,"34,23",нет,3478,1,1,5,плохо,плохо,хорошо,отсутствует,плохо
муж,"83,31",нет,2219,0,0,4,плохо,плохо,плохо,хорошо,отсутствует
муж,"62,61",да,1132,0,0,1,хорошо,плохо,отсутствует,хорошо,хорошо
муж,"70,02",нет,1292,0,0,1,плохо,отсутствует,хорошо,плохо,отсутствует
жен,"37,72",нет,4073,1,1,1,отсутствует,отсутствует,отсутствует,отсутствует,плохо
жен,"62,68",да,2802,1,1,2,плохо,хорошо,хорошо,хорошо,хорошо
муж,"71,78",нет,1101,1,1,4,отсутствует,плохо,отсутствует,отсутствует,отсутствует
муж,"45,38",нет,2224,0,1,3,хорошо,плохо,отсутствует,отсутствует,отсутствует
муж,"59,81",нет,871,1,1,4,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,"45,74",нет,1815,1,0,2,хорошо,хорошо,плохо,отсутствует,отсутствует
жен,"75,87",да,1881,1,0,5,хорошо,плохо,отсутствует,отсутствует,хорошо
муж,"66,05",да,326,0,0,2,плохо,хорошо,плохо,отсутствует,плохо
жен,"18,96",да,4209,1,0,3,отсутствует,отсутствует,хорошо,хорошо,отсутствует
муж,"24,63",да,1961,1,1,4,хорошо,хорошо,отсутствует,хорошо,плохо
муж,"44,96",нет,3580,1,0,1,хорошо,отсутствует,плохо,отсутствует,отсутствует
жен,"19,2",нет,3083,0,0,3,плохо,хорошо,плохо,плохо,отсутствует
жен,"24,24",нет,4857,1,1,5,отсутствует,отсутствует,плохо,хорошо,хорошо
муж,"65,08",да,1257,1,0,5,отсутствует,плохо,плохо,отсутствует,отсутствует
муж,"66,73",нет,4243,0,0,3,отсутствует,хорошо,плохо,плохо,хорошо
жен,"36,05",нет,3290,0,1,2,плохо,плохо,отсутствует,плохо,плохо
муж,"33,93",нет,305,0,0,5,плохо,хорошо,отсутствует,плохо,отсутствует
муж,"64,34",нет,3000,0,0,1,хорошо,хорошо,плохо,отсутствует,отсутствует
жен,"43,68",да,3352,1,0,5,плохо,хорошо,плохо,отсутствует,хорошо
жен,"51,55",да,4699,1,0,3,отсутствует,хорошо,хорошо,хорошо,отсутствует
жен,"43,23",да,4804,0,1,2,хорошо,хорошо,хорошо,плохо,плохо
муж,"28,1",нет,3703,0,0,2,отсутствует,плохо,плохо,хорошо,отсутствует
жен,"60,98",да,1810,0,0,2,отсутствует,отсутствует,хорошо,хорошо,хорошо
муж,"77,45",да,3164,1,1,3,плохо,хорошо,хорошо,плохо,хорошо
жен,"43,29",да,2554,1,0,2,хорошо,плохо,отсутствует,хорошо,отсутствует
жен,"44,46",да,4110,1,1,1,отсутствует,отсутствует,плохо,плохо,плохо
муж,"84,63",нет,4484,1,1,1,отсутствует,хорошо,отсутствует,плохо,отсутствует
жен,"71,8",да,3002,0,0,5,хорошо,хорошо,плохо,плохо,отсутствует
жен,"49,05",да,367,1,0,2,плохо,плохо,хорошо,отсутствует,хорошо
жен,"34,9",да,3483,0,1,1,плохо,хорошо,плохо,плохо,плохо
жен,"77,69",нет,4497,0,1,3,хорошо,отсутствует,хорошо,плохо,отсутствует
муж,"44,35",нет,4914,1,0,2,отсутствует,плохо,плохо,плохо,плохо
муж,"19,71",нет,2882,0,1,5,хорошо,плохо,хорошо,отсутствует,отсутствует
жен,"83,85",да,2019,0,1,4,отсутствует,хорошо,хорошо,отсутствует,хорошо
жен,"19,19",нет,996,1,1,2,отсутствует,отсутствует,отсутствует,хорошо,хорошо
жен,"41,2",нет,2046,1,0,3,отсутствует,отсутствует,хорошо,хорошо,хорошо
муж,"48,26",да,1504,0,1,2,плохо,хорошо,отсутствует,хорошо,плохо
жен,"82,25",да,3215,1,1,3,отсутствует,хорошо,хорошо,отсутствует,хорошо
муж,"78,83",да,1311,0,1,1,отсутствует,плохо,хорошо,плохо,хорошо
муж,"77,42",нет,1033,1,1,1,хорошо,отсутствует,отсутствует,хорошо,хорошо
муж,"68,6",нет,1460,0,0,4,отсутствует,отсутствует,хорошо,хорошо,хорошо
муж,"72,94",нет,2911,1,0,5,плохо,плохо,плохо,отсутствует,хорошо
жен,"67,43",нет,3473,0,1,3,плохо,отсутствует,хорошо,отсутствует,плохо
жен,"82,16",да,1754,1,1,5,хорошо,отсутствует,плохо,плохо,плохо
муж,"41,86",да,2097,0,1,4,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,"37,93",нет,662,1,1,2,отсутствует,плохо,хорошо,отсутствует,хорошо
жен,"22,88",нет,1510,1,1,5,отсутствует,плохо,хорошо,отсутствует,хорошо
муж,"18,98",да,4146,0,0,5,хорошо,плохо,плохо,отсутствует,хорошо
жен,"38,76",нет,1677,1,1,3,хорошо,плохо,хорошо,отсутствует,отсутствует
жен,"81,4",да,2259,0,0,1,отсутствует,плохо,плохо,хорошо,плохо
жен,"24,38",нет,4564,1,0,2,хорошо,отсутствует,плохо,хорошо,хорошо
муж,"49,73",да,4468,1,0,5,отсутствует,отсутствует,отсутствует,отсутствует,хорошо
жен,"19,4",нет,2740,1,0,3,плохо,плохо,хорошо,хорошо,отсутствует
муж,"70,38",да,185,0,1,4,хорошо,плохо,отсутствует,хорошо,плохо
муж,"30,08",да,1216,0,1,4,плохо,плохо,плохо,хорошо,плохо
жен,"24,79",нет,722,1,1,2,отсутствует,отсутствует,плохо,плохо,отсутствует
муж,"21,52",да,4672,0,1,2,плохо,отсутствует,плохо,отсутствует,отсутствует
муж,"68,85",нет,4524,0,1,5,отсутствует,хорошо,плохо,хорошо,хорошо
жен,"59,86",нет,2301,0,0,1,хорошо,плохо,хорошо,хорошо,хорошо
жен,"71,6",нет,3026,1,1,2,хорошо,плохо,хорошо,отсутствует,плохо
муж,"47,0",нет,4992,1,1,1,плохо,отсутствует,плохо,отсутствует,хорошо
жен,"45,49",да,1889,1,1,3,плохо,хорошо,плохо,хорошо,хорошо
жен,"35,01",нет,1398,0,1,3,отсутствует,плохо,плохо,плохо,плохо
муж,"65,03",да,2644,1,0,3,отсутствует,плохо,плохо,плохо,хорошо
жен,"89,35",да,1679,1,1,1,хорошо,хорошо,хорошо,хорошо,хорошо
жен,"61,98",нет,2917,0,0,5,отсутствует,плохо,отсутствует,отсутствует,плохо
жен,"48,9",нет,4987,1,1,3,отсутствует,отсутствует,отсутствует,плохо,хорошо
муж,"49,38",нет,3406,1,1,5,плохо,отсутствует,хорошо,плохо,плохо
жен,"38,99",да,2380,1,1,5,отсутствует,отсутствует,хорошо,хорошо,плохо
муж,"76,44",нет,1254,0,1,4,отсутствует,хорошо,отсутствует,хорошо,отсутствует
муж,"39,23",да,2984,0,1,2,отсутствует,плохо,плохо,плохо,отсутствует
муж,"29,82",да,3518,1,0,3,хорошо,хорошо,отсутствует,хорошо,хорошо
муж,"64,49",да,2328,1,0,2,плохо,плохо,отсутствует,плохо,отсутствует
муж,"56,86",да,4688,1,1,5,хорошо,хорошо,плохо,отсутствует,отсутствует
жен,"72,94",нет,925,1,0,4,отсутствует,хорошо,хорошо,отсутствует,отсутствует
муж,"62,56",нет,323,0,1,5,плохо,хорошо,отсутствует,плохо,хорошо
муж,"48,43",да,2530,1,1,4,хорошо,плохо,плохо,хорошо,хорошо
муж,"69,24",да,4893,1,0,3,плохо,хорошо,хорошо,плохо,хорошо
жен,"69,13",да,3426,0,0,5,плохо,хорошо,плохо,хорошо,отсутствует
муж,"55,8",нет,668,1,0,5,отсутствует,хорошо,отсутствует,плохо,отсутствует
жен,"57,96",нет,1567,1,0,3,отсутствует,хорошо,отсутствует,отсутствует,хорошо
жен,"47,01",да,2194,0,1,1,плохо,отсутствует,хорошо,плохо,отсутствует
жен,"86,78",да,1186,0,1,3,плохо,хорошо,хорошо,хорошо,хорошо
муж,"53,93",да,481,0,0,3,плохо,плохо,плохо,хорошо,хорошо
жен,"48,73",нет,3655,1,1,2,хорошо,плохо,хорошо,отсутствует,отсутствует
муж,"67,09",да,3255,1,0,5,плохо,хорошо,хорошо,хорошо,плохо
жен,"27,94",да,2356,1,0,3,хорошо,отсутствует,отсутствует,отсутствует,плохо
муж,"75,25",да,638,1,0,2,хорошо,хорошо,отсутствует,хорошо,хорошо
муж,"33,38",да,792,0,1,3,плохо,хорошо,отсутствует,хорошо,хорошо
муж,"80,64",нет,3924,1,0,3,отсутствует,хорошо,плохо,хорошо,плохо
жен,"27,19",да,3006,1,0,2,плохо,плохо,хорошо,хорошо,хорошо
муж,"48,58",да,883,0,0,2,хорошо,хорошо,хорошо,отсутствует,отсутствует
муж,"47,56",да,4417,1,0,4,хорошо,отсутствует,отсутствует,отсутствует,хорошо
жен,"77,49",нет,674,1,0,5,плохо,хорошо,отсутствует,отсутствует,хорошо
жен,"35,07",нет,2865,1,1,3,плохо,отсутствует,хорошо,отсутствует,хорошо
жен,"79,95",да,1146,1,0,5,хорошо,плохо,отсутствует,хорошо,отсутствует
муж,"25,29",нет,797,1,1,5,плохо,отсутствует,отсутствует,плохо,плохо
жен,"23,59",нет,2650,0,1,2,отсутствует,хорошо,плохо,плохо,отсутствует
муж,"75,8",да,1112,0,1,2,хорошо,отсутствует,хорошо,плохо,отсутствует
жен,"39,78",да,898,1,1,1,отсутствует,отсутствует,плохо,отсутствует,отсутствует
жен,"23,63",нет,1132,0,1,5,отсутствует,плохо,отсутствует,отсутствует,отсутствует
муж,"32,16",нет,4441,0,1,4,плохо,хорошо,хорошо,отсутствует,плохо
жен,"75,47",да,3177,0,1,5,хорошо,хорошо,хорошо,плохо,отсутствует
муж,"22,48",да,1612,0,0,1,плохо,отсутствует,плохо,плохо,хорошо
жен,"50,57",да,2970,0,1,1,плохо,отсутствует,плохо,отсутствует,хорошо
муж,"49,66",да,1477,1,0,2,хорошо,хорошо,плохо,отсутствует,плохо
муж,"35,46",да,2236,0,1,5,отсутствует,плохо,хорошо,хорошо,хорошо
жен,"36,98",да,1520,0,0,2,плохо,плохо,плохо,плохо,плохо
муж,"29,78",да,4823,1,1,1,хорошо,плохо,хорошо,отсутствует,плохо
муж,"66,96",да,3945,0,1,2,плохо,отсутствует,плохо,отсутствует,плохо
муж,"48,36",да,3508,0,0,1,хорошо,плохо,плохо,плохо,плохо
жен,"64,47",нет,3415,0,0,4,отсутствует,плохо,хорошо,отсутствует,хорошо
жен,"46,08",нет,1961,1,0,2,хорошо,отсутствует,плохо,отсутствует,отсутствует
жен,"72,02",нет,3907,1,0,3,хорошо,плохо,хорошо,отсутствует,плохо
муж,"89,07",да,602,1,0,4,отсутствует,хорошо,плохо,плохо,отсутствует
муж,"53,37",да,1228,1,0,4,отсутствует,хорошо,плохо,отсутствует,плохо
муж,"84,83",нет,1298,1,0,5,плохо,отсутствует,отсутствует,плохо,хорошо
жен,"83,46",да,2106,0,1,4,плохо,плохо,плохо,плохо,плохо
муж,"75,05",да,2491,0,1,1,плохо,плохо,плохо,плохо,хорошо
муж,"76,11",нет,531,0,1,1,плохо,отсутствует,плохо,хорошо,отсутствует
муж,"87,62",нет,3393,0,1,3,плохо,плохо,плохо,отсутствует,плохо
жен,"18,11",нет,977,1,0,2,плохо,плохо,плохо,отсутствует,хорошо
муж,"74,42",да,1229,1,0,2,отсутствует,отсутствует,отсутствует,отсутствует,хорошо
муж,"86,53",нет,1102,0,0,4,плохо,плохо,хорошо,отсутствует,отсутствует
муж,"70,24",да,2439,0,1,1,хорошо,отсутствует,хорошо,отсутствует,плохо
муж,"82,03",нет,3098,1,1,2,отсутствует,хорошо,хорошо,хорошо,хорошо
жен,"39,15",нет,328,0,0,4,отсутствует,плохо,хорошо,хорошо,хорошо
муж,"53,83",да,303,1,0,5,хорошо,плохо,отсутствует,отсутствует,плохо
муж,"24,35",да,2934,0,0,4,хорошо,плохо,хорошо,хорошо,отсутствует
жен,"24,92",да,3571,1,0,1,плохо,хорошо,хорошо,отсутствует,плохо
жен,"63,08",нет,2109,0,0,3,отсутствует,плохо,хорошо,отсутствует,отсутствует
жен,"34,96",нет,1226,1,1,5,хорошо,отсутствует,плохо,отсутствует,хорошо
жен,"35,58",нет,2962,0,0,1,плохо,хорошо,хорошо,плохо,хорошо
муж,"54,52",да,2631,0,0,1,хорошо,плохо,плохо,отсутствует,отсутствует
жен,"87,87",да,4412,1,1,1,хорошо,хорошо,хорошо,хорошо,плохо
муж,"29,06",да,1577,1,1,3,плохо,плохо,отсутствует,отсутствует,отсутствует
жен,"84,29",да,1622,1,1,4,отсутствует,хорошо,плохо,отсутствует,хорошо
жен,"73,27",да,215,1,0,3,отсутствует,плохо,хорошо,плохо,плохо
жен,"64,63",нет,1525,0,1,3,плохо,хорошо,хорошо,хорошо,хорошо
жен,"63,32",да,885,0,0,3,хорошо,плохо,плохо,отсутствует,плохо
муж,"56,58",нет,1893,1,0,1,плохо,отсутствует,отсутствует,плохо,хорошо
муж,"55,09",да,1703,1,1,3,хорошо,плохо,хорошо,плохо,плохо
жен,"58,73",нет,2036,0,1,4,отсутствует,хорошо,хорошо,отсутствует,хорошо
жен,"57,08",да,3430,1,1,1,плохо,плохо,отсутствует,плохо,плохо
жен,"53,82",нет,3156,1,0,1,отсутствует,отсутствует,плохо,хорошо,плохо
муж,"18,03",да,4588,1,1,2,хорошо,плохо,отсутствует,хорошо,плохо
жен,"71,94",нет,872,1,1,5,отсутствует,плохо,плохо,плохо,хорошо
жен,"28,4",нет,4332,1,1,5,отсутствует,хорошо,плохо,хорошо,отсутствует
муж,"57,97",нет,3489,1,1,4,плохо,плохо,плохо,хорошо,отсутствует
муж,"31,99",да,579,0,0,3,хорошо,плохо,плохо,отсутствует,хорошо
муж,"50,6",нет,1550,1,0,4,отсутствует,плохо,отсутствует,отсутствует,отсутствует
жен,"41,85",нет,4285,1,1,1,хорошо,плохо,отсутствует,хорошо,хорошо
муж,"69,37",да,2529,1,1,1,плохо,плохо,отсутствует,плохо,хорошо
жен,"48,06",нет,2965,1,0,3,отсутствует,отсутствует,плохо,хорошо,хорошо
муж,"79,35",нет,4200,1,1,5,хорошо,плохо,хорошо,отсутствует,плохо
жен,"89,99",нет,4214,0,1,3,плохо,хорошо,плохо,плохо,отсутствует
жен,"35,36",нет,4040,1,0,1,отсутствует,плохо,плохо,отсутствует,плохо
муж,"79,37",нет,885,0,1,1,отсутствует,отсутствует,плохо,хорошо,плохо
муж,"68,06",нет,3866,0,0,3,отсутствует,хорошо,отсутствует,плохо,хорошо
муж,"81,88",да,1829,0,0,4,хорошо,плохо,плохо,отсутствует,хорошо
жен,"68,31",да,4532,0,0,4,отсутствует,плохо,хорошо,отсутствует,хорошо
муж,"54,7",нет,998,0,0,4,хорошо,отсутствует,отсутствует,хорошо,хорошо
жен,"37,63",нет,2272,0,0,4,отсутствует,хорошо,отсутствует,хорошо,хорошо
жен,"74,94",нет,2082,0,0,3,хорошо,плохо,плохо,отсутствует,плохо
жен,"76,58",да,3560,0,0,3,отсутствует,хорошо,хорошо,плохо,плохо
муж,"78,52",да,1254,1,0,4,хорошо,отсутствует,плохо,отсутствует,хорошо
муж,"73,06",нет,3754,0,0,3,плохо,отсутствует,отсутствует,отсутствует,плохо
жен,"57,7",нет,1913,1,0,5,плохо,хорошо,отсутствует,отсутствует,хорошо
муж,"24,53",да,2162,0,0,1,хорошо,отсутствует,хорошо,хорошо,хорошо
муж,"66,59",да,3067,0,0,4,хорошо,хорошо,плохо,отсутствует,хорошо
муж,"60,04",да,4767,1,0,1,плохо,хорошо,хорошо,хорошо,хорошо
жен,"26,24",нет,3586,1,1,1,плохо,хорошо,отсутствует,плохо,отсутствует
жен,"67,63",да,926,0,1,4,хорошо,хорошо,хорошо,плохо,хорошо
муж,"35,21",нет,280,0,0,5,отсутствует,плохо,плохо,плохо,хорошо
жен,"45,28",нет,2375,0,0,4,плохо,хорошо,плохо,плохо,отсутствует
жен,"71,55",да,517,0,0,5,плохо,плохо,плохо,хорошо,хорошо
муж,"73,13",да,1498,0,0,3,хорошо,отсутствует,плохо,отсутствует,плохо
муж,"68,11",нет,4789,0,0,4,плохо,хорошо,хорошо,отсутствует,отсутствует
жен,"22,4",нет,2929,0,0,3,отсутствует,отсутствует,отсутствует,хорошо,плохо
муж,"51,84",нет,4872,0,0,2,хорошо,хорошо,плохо,плохо,плохо
жен,"33,63",нет,632,1,0,5,плохо,плохо,плохо,хорошо,плохо
муж,"62,78",да,4288,1,1,5,хорошо,хорошо,отсутствует,отсутствует,хорошо
муж,"32,13",да,3051,1,1,1,плохо,отсутствует,хорошо,отсутствует,плохо
муж,"25,66",нет,3178,1,1,4,плохо,отсутствует,хорошо,отсутствует,отсутствует
жен,"62,13",да,4602,1,1,3,отсутствует,хорошо,плохо,отсутствует,отсутствует
муж,"28,08",да,1342,0,0,4,отсутствует,отсутствует,отсутствует,плохо,отсутствует
жен,"62,36",нет,3083,0,1,1,плохо,хорошо,плохо,отсутствует,плохо
муж,"34,27",да,376,0,0,3,отсутствует,хорошо,хорошо,отсутствует,плохо
жен,"20,01",да,1589,1,0,1,плохо,хорошо,плохо,отсутствует,отсутствует
муж,"18,61",нет,2117,1,1,1,плохо,отсутствует,плохо,отсутствует,плохо
муж,"77,41",да,1233,1,0,3,отсутствует,плохо,отсутствует,хорошо,хорошо
муж,"86,03",нет,4869,1,1,1,хорошо,хорошо,плохо,плохо,хорошо
муж,"45,54",да,2111,0,1,2,отсутствует,хорошо,отсутствует,отсутствует,плохо
жен,"18,01",нет,919,0,0,5,хорошо,отсутствует,хорошо,отсутствует,хорошо
муж,"72,94",нет,2244,0,1,4,отсутствует,отсутствует,плохо,плохо,хорошо
жен,"86,8",нет,1551,1,0,4,хорошо,хорошо,хорошо,плохо,хорошо
жен,"65,64",нет,4877,0,0,5,хорошо,отсутствует,отсутствует,отсутствует,отсутствует
муж,"41,46",нет,1504,0,0,3,хорошо,плохо,отсутствует,хорошо,отсутствует
муж,"74,53",да,3298,1,1,3,отсутствует,плохо,отсутствует,плохо,отсутствует
жен,"69,92",да,200,0,1,4,плохо,хорошо,хорошо,хорошо,отсутствует
муж,"26,1",да,2259,0,1,2,хорошо,плохо,плохо,плохо,хорошо
муж,"70,91",нет,334,0,1,1,отсутствует,хорошо,отсутствует,отсутствует,плохо
жен,"68,65",нет,4315,1,0,2,хорошо,хорошо,хорошо,плохо,отсутствует
жен,"84,47",нет,868,0,0,1,плохо,плохо,хорошо,хорошо,хорошо
жен,"49,9",нет,2142,1,1,4,плохо,отсутствует,хорошо,плохо,плохо
жен,"63,99",да,444,1,0,1,хорошо,плохо,отсутствует,плохо,хорошо
жен,"23,53",да,545,0,1,5,отсутствует,плохо,плохо,плохо,хорошо
жен,"47,22",да,2417,0,0,3,плохо,хорошо,хорошо,хорошо,хорошо
жен,"43,62",да,1173,1,0,1,отсутствует,хорошо,отсутствует,хорошо,хорошо
жен,"31,75",да,2598,1,0,5,отсутствует,отсутствует,отсутствует,хорошо,плохо
муж,"52,75",да,1937,1,0,2,отсутствует,плохо,хорошо,отсутствует,отсутствует
жен,"67,18",да,1933,0,1,4,отсутствует,хорошо,плохо,плохо,плохо
муж,"29,42",да,1515,0,1,2,отсутствует,отсутствует,плохо,хорошо,хорошо
