пол,возраст,путешествует_с_детьми,расстояние,включён_завтрак,наличие_wifi,оценка_удобства_добирания_до_места,оценка_интерсности_досуга,оценка_качества_питания,оценка_качества_wifi,оценка_комфортности_палатки,общая_оценка_качества_предоставленной_услуги,возраст_кат
муж,6,да,1983,0,1,3,отсутствует,отсутствует,хорошо,хорошо,отсутствует,менее_30
муж,42,нет,937,1,0,5,плохо,отсутствует,отсутствует,отсутствует,плохо,более_30
муж,8,нет,2541,0,1,2,хорошо,хорошо,плохо,хорошо,хорошо,менее_30
муж,24,нет,853,1,0,3,отсутствует,плохо,отсутствует,отсутствует,отсутствует,менее_30
жен,1,нет,1791,0,1,4,отсутствует,отсутствует,плохо,плохо,плохо,менее_30
муж,17,нет,424,1,0,1,хорошо,хорошо,хорошо,плохо,отсутствует,менее_30
жен,5,да,4101,0,1,1,отсутствует,плохо,хорошо,плохо,хорошо,менее_30
муж,54,да,1764,0,0,4,плохо,отсутствует,плохо,отсутствует,отсутствует,более_30
муж,3,нет,634,1,0,5,отсутствует,хорошо,отсутствует,хорошо,плохо,менее_30
жен,80,да,357,0,1,4,отсутствует,хорошо,отсутствует,плохо,отсутствует,более_30
муж,2,да,1130,0,1,1,плохо,хорошо,плохо,плохо,отсутствует,менее_30
муж,36,нет,2018,0,0,5,плохо,плохо,хорошо,плохо,плохо,более_30
муж,76,нет,1056,1,1,1,хорошо,хорошо,хорошо,отсутствует,плохо,более_30
жен,17,да,1017,0,1,4,отсутствует,хорошо,отсутствует,плохо,отсутствует,менее_30
жен,68,да,2444,0,0,4,хорошо,отсутствует,отсутствует,хорошо,отсутствует,более_30
жен,69,да,4352,1,1,4,хорошо,хорошо,хорошо,хорошо,плохо,более_30
жен,46,нет,4853,1,1,2,хорошо,плохо,плохо,отсутствует,хорошо,более_30
муж,58,да,396,0,1,3,отсутствует,плохо,отсутствует,плохо,хорошо,более_30
муж,5,да,2652,1,0,1,отсутствует,хорошо,хорошо,отсутствует,плохо,менее_30
муж,75,нет,1810,0,0,4,плохо,плохо,хорошо,плохо,отсутствует,более_30
муж,28,нет,2892,0,0,1,хорошо,отсутствует,отсутствует,плохо,отсутствует,менее_30
муж,15,да,2668,0,0,1,отсутствует,отсутствует,плохо,отсутствует,хорошо,менее_30
жен,10,да,609,1,0,3,плохо,отсутствует,отсутствует,отсутствует,плохо,менее_30
жен,68,да,2767,0,0,5,хорошо,отсутствует,плохо,отсутствует,хорошо,более_30
муж,33,да,465,0,1,1,хорошо,хорошо,плохо,отсутствует,отсутствует,более_30
жен,73,нет,911,0,0,5,хорошо,плохо,отсутствует,отсутствует,отсутствует,более_30
муж,9,да,4161,1,0,4,хорошо,плохо,отсутствует,хорошо,отсутствует,менее_30
муж,82,да,3745,1,1,2,хорошо,отсутствует,хорошо,отсутствует,отсутствует,более_30
муж,69,да,190,1,1,4,хорошо,отсутствует,плохо,плохо,хорошо,более_30
муж,75,да,4832,0,0,1,хорошо,плохо,хорошо,плохо,плохо,более_30
жен,1,нет,951,0,0,1,плохо,плохо,хорошо,хорошо,плохо,менее_30
жен,81,да,3269,0,0,4,хорошо,отсутствует,плохо,плохо,хорошо,более_30
муж,43,нет,3585,1,1,5,отсутствует,плохо,хорошо,плохо,плохо,более_30
муж,57,да,661,1,1,5,хорошо,хорошо,хорошо,хорошо,плохо,более_30
жен,71,нет,4368,0,0,3,хорошо,хорошо,хорошо,отсутствует,плохо,более_30
жен,82,нет,4885,0,0,3,хорошо,отсутствует,плохо,отсутствует,плохо,более_30
жен,48,нет,4935,1,1,1,плохо,хорошо,плохо,отсутствует,плохо,более_30
муж,57,да,2764,1,0,2,плохо,хорошо,плохо,отсутствует,плохо,более_30
муж,39,да,2238,0,1,5,плохо,хорошо,плохо,отсутствует,хорошо,более_30
муж,77,нет,398,1,0,1,плохо,плохо,плохо,отсутствует,хорошо,более_30
жен,19,да,1985,1,0,1,плохо,отсутствует,плохо,отсутствует,отсутствует,менее_30
жен,51,нет,1305,1,1,4,плохо,плохо,хорошо,хорошо,отсутствует,более_30
муж,81,да,2582,1,0,3,отсутствует,плохо,отсутствует,отсутствует,хорошо,более_30
муж,21,нет,572,0,1,2,хорошо,плохо,плохо,отсутствует,хорошо,менее_30
жен,5,да,1067,0,1,4,хорошо,отсутствует,хорошо,отсутствует,плохо,менее_30
жен,34,нет,188,1,0,2,хорошо,отсутствует,плохо,отсутствует,хорошо,более_30
жен,17,нет,2030,0,1,2,отсутствует,хорошо,хорошо,хорошо,хорошо,менее_30
муж,47,да,2195,1,0,1,хорошо,плохо,отсутствует,хорошо,хорошо,более_30
жен,88,нет,1788,0,1,2,отсутствует,хорошо,плохо,отсутствует,хорошо,более_30
жен,28,да,326,0,1,5,отсутствует,плохо,отсутствует,хорошо,отсутствует,менее_30
муж,50,да,2080,1,0,5,хорошо,отсутствует,отсутствует,отсутствует,плохо,более_30
жен,5,да,2657,0,0,5,плохо,хорошо,плохо,отсутствует,плохо,менее_30
жен,73,нет,3394,0,1,2,хорошо,хорошо,хорошо,плохо,отсутствует,более_30
муж,20,да,662,0,0,1,отсутствует,плохо,хорошо,хорошо,отсутствует,менее_30
муж,83,нет,1678,1,1,4,хорошо,плохо,плохо,хорошо,отсутствует,более_30
жен,21,да,3915,0,0,2,хорошо,хорошо,хорошо,отсутствует,отсутствует,менее_30
муж,53,нет,4492,0,0,3,отсутствует,плохо,отсутствует,плохо,отсутствует,более_30
муж,80,нет,1339,0,1,3,плохо,отсутствует,хорошо,плохо,плохо,более_30
муж,6,нет,3496,1,1,5,плохо,хорошо,плохо,плохо,хорошо,менее_30
муж,26,да,3981,0,0,2,отсутствует,отсутствует,плохо,отсутствует,отсутствует,менее_30
жен,28,нет,826,0,0,3,хорошо,хорошо,отсутствует,отсутствует,отсутствует,менее_30
жен,40,да,1062,0,0,4,хорошо,отсутствует,отсутствует,хорошо,отсутствует,более_30
муж,90,да,4616,1,0,2,отсутствует,отсутствует,хорошо,плохо,плохо,более_30
жен,67,да,2409,1,0,5,отсутствует,хорошо,отсутствует,хорошо,хорошо,более_30
жен,41,нет,3842,0,1,3,хорошо,отсутствует,отсутствует,плохо,плохо,более_30
жен,35,нет,2202,0,0,1,плохо,отсутствует,плохо,отсутствует,отсутствует,более_30
муж,59,да,3839,0,1,1,плохо,плохо,отсутствует,плохо,плохо,более_30
муж,43,да,1918,1,1,5,хорошо,отсутствует,отсутствует,хорошо,отсутствует,более_30
жен,29,нет,2442,0,0,3,плохо,хорошо,хорошо,плохо,плохо,менее_30
муж,47,да,1555,0,1,5,хорошо,отсутствует,плохо,хорошо,отсутствует,более_30
муж,39,нет,2501,1,0,5,плохо,хорошо,плохо,отсутствует,отсутствует,более_30
жен,78,да,4513,0,0,5,плохо,отсутствует,хорошо,плохо,хорошо,более_30
жен,82,да,3319,1,1,5,хорошо,хорошо,отсутствует,отсутствует,плохо,более_30
жен,7,да,1244,0,1,5,хорошо,плохо,хорошо,плохо,хорошо,менее_30
жен,81,да,577,0,0,1,отсутствует,хорошо,плохо,отсутствует,отсутствует,более_30
муж,22,нет,1981,0,0,2,хорошо,хорошо,отсутствует,хорошо,плохо,менее_30
муж,83,да,116,0,0,1,отсутствует,отсутствует,плохо,хорошо,плохо,более_30
жен,7,нет,3842,1,1,1,плохо,хорошо,плохо,плохо,плохо,менее_30
жен,66,нет,2413,1,0,2,хорошо,плохо,отсутствует,хорошо,отсутствует,более_30
жен,6,да,4831,1,1,1,хорошо,плохо,плохо,хорошо,отсутствует,менее_30
муж,87,нет,864,0,0,2,отсутствует,плохо,отсутствует,хорошо,плохо,более_30
муж,74,да,2249,1,0,1,плохо,плохо,отсутствует,хорошо,хорошо,более_30
жен,80,нет,3068,0,1,4,плохо,хорошо,хорошо,отсутствует,отсутствует,более_30
муж,61,нет,3168,0,0,5,плохо,хорошо,плохо,отсутствует,плохо,более_30
муж,37,нет,3995,1,0,2,отсутствует,плохо,отсутствует,хорошо,хорошо,более_30
жен,28,нет,221,1,0,1,отсутствует,отсутствует,отсутствует,хорошо,отсутствует,менее_30
муж,6,нет,246,1,1,1,отсутствует,отсутствует,плохо,плохо,отсутствует,менее_30
муж,25,да,3510,1,0,5,плохо,отсутствует,отсутствует,плохо,плохо,менее_30
жен,11,да,3716,1,1,3,отсутствует,отсутствует,отсутствует,отсутствует,плохо,менее_30
муж,81,да,2593,1,0,5,плохо,хорошо,отсутствует,отсутствует,хорошо,более_30
муж,3,да,4994,0,0,2,хорошо,плохо,отсутствует,хорошо,хорошо,менее_30
муж,59,нет,4498,0,0,1,отсутствует,отсутствует,отсутствует,плохо,плохо,более_30
жен,33,нет,1269,0,0,2,плохо,хорошо,плохо,отсутствует,хорошо,более_30
жен,1,нет,2076,0,1,4,плохо,отсутствует,хорошо,отсутствует,плохо,менее_30
жен,22,нет,3742,1,1,2,плохо,плохо,плохо,отсутствует,отсутствует,менее_30
муж,68,нет,2935,0,1,2,плохо,отсутствует,отсутствует,хорошо,плохо,более_30
жен,67,да,1970,1,1,5,плохо,хорошо,хорошо,отсутствует,хорошо,более_30
жен,6,да,4069,0,1,4,хорошо,плохо,плохо,отсутствует,плохо,менее_30
жен,74,нет,243,0,0,1,плохо,хорошо,плохо,отсутствует,отсутствует,более_30
муж,59,да,3736,0,0,4,хорошо,плохо,плохо,плохо,отсутствует,более_30
муж,13,нет,939,1,1,4,отсутствует,хорошо,хорошо,отсутствует,отсутствует,менее_30
жен,53,нет,452,1,0,4,отсутствует,хорошо,отсутствует,отсутствует,плохо,более_30
муж,5,нет,2009,0,0,2,хорошо,хорошо,хорошо,хорошо,отсутствует,менее_30
муж,86,нет,1428,1,1,4,плохо,хорошо,отсутствует,плохо,отсутствует,более_30
жен,47,нет,3699,1,1,2,хорошо,плохо,плохо,плохо,хорошо,более_30
муж,90,нет,2794,0,0,4,плохо,отсутствует,отсутствует,плохо,хорошо,более_30
жен,29,да,2067,1,1,5,хорошо,отсутствует,отсутствует,хорошо,плохо,менее_30
муж,57,да,2143,1,0,1,хорошо,плохо,плохо,плохо,отсутствует,более_30
жен,47,нет,4152,0,1,4,хорошо,отсутствует,плохо,плохо,плохо,более_30
жен,17,нет,4450,0,0,3,отсутствует,плохо,плохо,отсутствует,отсутствует,менее_30
жен,56,нет,4818,0,0,1,плохо,хорошо,хорошо,отсутствует,хорошо,более_30
муж,60,да,1822,0,0,1,хорошо,отсутствует,плохо,отсутствует,хорошо,более_30
муж,47,нет,423,0,0,5,отсутствует,отсутствует,плохо,отсутствует,плохо,более_30
жен,16,нет,3263,0,0,1,отсутствует,хорошо,хорошо,плохо,хорошо,менее_30
муж,82,нет,3597,1,0,1,отсутствует,хорошо,хорошо,плохо,отсутствует,более_30
муж,32,да,2804,0,0,1,плохо,плохо,плохо,плохо,отсутствует,более_30
жен,38,нет,2810,1,1,1,плохо,плохо,плохо,плохо,плохо,более_30
жен,7,нет,1517,1,0,4,хорошо,хорошо,хорошо,плохо,плохо,менее_30
муж,32,нет,4136,1,0,5,отсутствует,хорошо,плохо,хорошо,хорошо,более_30
муж,46,да,1699,1,0,1,хорошо,плохо,плохо,хорошо,отсутствует,более_30
муж,27,да,461,0,1,1,плохо,хорошо,плохо,плохо,хорошо,менее_30
жен,17,да,3612,0,1,2,хорошо,отсутствует,плохо,отсутствует,хорошо,менее_30
муж,8,да,255,0,1,5,отсутствует,плохо,отсутствует,отсутствует,плохо,менее_30
жен,45,нет,3866,0,0,2,хорошо,отсутствует,плохо,хорошо,хорошо,более_30
жен,12,нет,4651,1,0,5,отсутствует,отсутствует,плохо,отсутствует,хорошо,менее_30
жен,48,да,2925,0,0,5,отсутствует,отсутствует,отсутствует,хорошо,отсутствует,более_30
жен,64,да,4903,1,0,2,плохо,плохо,плохо,хорошо,плохо,более_30
муж,52,нет,3614,0,0,5,плохо,плохо,хорошо,плохо,хорошо,более_30
муж,19,да,4626,0,0,4,хорошо,хорошо,плохо,отсутствует,плохо,менее_30
муж,28,да,4197,1,0,2,отсутствует,хорошо,плохо,отсутствует,отсутствует,менее_30
муж,52,да,2239,1,0,4,плохо,хорошо,хорошо,отсутствует,плохо,более_30
жен,40,нет,175,0,1,3,хорошо,плохо,хорошо,плохо,хорошо,более_30
жен,58,нет,3971,0,0,2,плохо,плохо,плохо,хорошо,отсутствует,более_30
жен,45,да,1777,0,0,1,отсутствует,плохо,плохо,хорошо,хорошо,более_30
жен,8,да,2712,1,0,3,хорошо,отсутствует,отсутствует,плохо,отсутствует,менее_30
жен,56,да,3308,1,1,3,плохо,хорошо,плохо,плохо,плохо,более_30
жен,73,нет,242,0,1,2,хорошо,хорошо,отсутствует,хорошо,плохо,более_30
жен,12,нет,3503,1,1,1,плохо,хорошо,хорошо,хорошо,хорошо,менее_30
жен,39,да,4076,1,0,4,отсутствует,отсутствует,плохо,плохо,хорошо,более_30
жен,22,нет,4952,1,0,1,плохо,хорошо,хорошо,отсутствует,хорошо,менее_30
жен,72,да,336,1,1,3,отсутствует,плохо,плохо,плохо,отсутствует,более_30
муж,20,нет,4338,0,1,4,плохо,отсутствует,хорошо,хорошо,плохо,менее_30
муж,26,нет,2615,0,1,5,хорошо,отсутствует,плохо,отсутствует,плохо,менее_30
муж,63,нет,100,1,0,4,хорошо,отсутствует,отсутствует,хорошо,плохо,более_30
муж,39,нет,4703,1,1,2,хорошо,плохо,плохо,хорошо,плохо,более_30
муж,22,нет,1412,0,0,1,плохо,хорошо,отсутствует,хорошо,отсутствует,менее_30
муж,39,да,1261,1,1,4,отсутствует,хорошо,плохо,плохо,отсутствует,более_30
муж,49,нет,3970,1,1,1,хорошо,плохо,отсутствует,хорошо,плохо,более_30
жен,74,да,4857,1,0,3,хорошо,плохо,отсутствует,отсутствует,отсутствует,более_30
жен,28,да,1151,1,1,3,отсутствует,хорошо,хорошо,хорошо,хорошо,менее_30
муж,69,нет,4002,0,1,4,отсутствует,отсутствует,плохо,плохо,отсутствует,более_30
жен,89,да,1033,0,1,4,хорошо,хорошо,плохо,плохо,плохо,более_30
муж,33,да,3370,0,1,5,плохо,отсутствует,хорошо,хорошо,отсутствует,более_30
муж,42,да,4925,0,0,3,плохо,отсутствует,хорошо,хорошо,плохо,более_30
муж,51,нет,4214,0,1,5,плохо,отсутствует,плохо,плохо,отсутствует,более_30
жен,31,нет,4288,0,0,5,плохо,отсутствует,хорошо,хорошо,хорошо,более_30
муж,61,нет,794,0,1,4,плохо,отсутствует,плохо,плохо,хорошо,более_30
муж,79,нет,388,1,0,5,отсутствует,отсутствует,хорошо,плохо,хорошо,более_30
муж,16,да,1786,1,0,3,отсутствует,хорошо,хорошо,плохо,плохо,менее_30
жен,69,нет,3154,0,0,3,отсутствует,плохо,плохо,плохо,отсутствует,более_30
жен,68,нет,3821,1,1,1,хорошо,плохо,плохо,плохо,плохо,более_30
жен,85,да,2804,1,1,4,плохо,плохо,хорошо,отсутствует,хорошо,более_30
муж,82,нет,1196,0,0,5,хорошо,плохо,хорошо,отсутствует,отсутствует,более_30
муж,10,да,4121,1,0,2,отсутствует,плохо,отсутствует,плохо,хорошо,менее_30
